scenario_name,case_name,terrain_risk_weight,metric,count,mean_delta,median_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,pct_improved,wilcoxon_p,wilcoxon_method
safe_corridor,safe_corridor_risk_w_0,0.0,max_terrain_risk,50,0.0002882093191146,0.0002764165401458,0.0008416676956425,6.118835508823395e-05,0.0005148890316486,0.4,0.0212236716368483,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,terrain_risk_excess,50,-0.0679045939445495,-0.0897643566131591,0.1644376025230916,-0.1147260447740554,-0.020260794699192,0.66,0.0046061023278625,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,terrain_risk_exposure_ratio,50,-0.0062460994232146,-0.0068462447668514,0.0186869770775184,-0.0112855393354506,-0.0009649544107754,0.72,0.0134783872918795,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,control_smoothness,50,0.0001322992318958,0.0001201960357868,0.0001253479643908,9.63943412146228e-05,0.0001679664336709,0.1,1.192391962945294e-09,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,control_jerk,50,0.0002133268016075,0.000150700083146,0.0004426401443787,9.827257373264245e-05,0.000336241929672,0.34,0.0027993607498171,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,mean_mppi_time_ms,50,28.511160622038407,28.487031479371097,0.8867884956658023,28.281568532768027,28.7631535072666,0.0,1.7763568394002505e-15,scipy
safe_corridor,safe_corridor_risk_w_0_5,0.5,final_distance,50,-0.0019215768575668,-0.0022554993629455,0.0093850411223776,-0.0044784084111452,0.0006531888842582,0.56,0.2186624017585945,scipy
safe_corridor,safe_corridor_risk_w_0_5,0.5,steps,50,-7.58,-7.5,8.59788346048026,-10.02,-5.199000000000006,0.84,1.6198182883897516e-07,scipy
safe_corridor,safe_corridor_risk_w_0_5,0.5,cumulative_terrain_risk,50,-2.2375151824951174,-2.3570728302001958,2.5399862896790126,-2.968577959060669,-1.5138645591735842,0.84,1.867326027138461e-07,scipy
safe_corridor,safe_corridor_risk_w_0_5,0.5,max_terrain_risk,50,0.0004009610414505,0.0003721565008163,0.0006919414450208,0.000214048191905,0.0005963879972696,0.28,0.0001558140810278,scipy
safe_corridor,safe_corridor_risk_w_0_5,0.5,terrain_risk_excess,50,0.0040404319763183,-0.0156192183494567,0.1550114453420352,-0.036928051829338,0.0458104856610298,0.54,0.8707939059443142,scipy
safe_corridor,safe_corridor_risk_w_0_5,0.5,terrain_risk_exposure_ratio,50,0.0032938412676985,0.0013851307821156,0.0210386606444735,-0.0023588623496794,0.0091340171568899,0.46,0.5148117870350184,scipy
